text,misogynous
ewk man this bitch be with mad whores,1
mention1 mention2 hell do you think you are to call my friend a fucking skank?! just because she's bringing url,0
mention1 i like twitter cause we're so irrelevant here that no one pays attention to us ,0
the most filled with misogyny (calling women hysterical for the metoo movement) and victim blaming sit. why does url,0
now how this bitch gonna fart and not say excuse me but stink up the hole check out lane noladylike,1
only a goofy bitch calls to tell you some violent ass shit a child wants to do with you cause of something their toxic ass said. dumb hoe,1
the guys who say not all men!! some of us are the nice guys you turn down or it happened to me  im not crying about it,0
"mention1 i was responding to you that we women know that not all men are scumbags. and, that some men are vic url",0
the pretty hoe really got that mexican girl hoein for her lmaaaooooo,1
redhead girls are hot! but ginger girls are usualy fugly,1
mention1 mention2 mention3 and if you think some whore blowing a guy to get a part in a movie is rape? url,1
"the last time i saw a woman of value was at the strip club, and she was worth 1 lol;",1
mention1 m amp; m and ram have absolutely nothing to do with classic rock so why are you doing this?,0
maledominance let's get it trending!,1
remember that male jogger who pushed that woman into a bus? he probably had very rich lawyers and is lying low in the caribbean. cunt.,0
"i cannot allow my folks to cuff no whore , not a good look fuck allat turn a hoe into a house wife shit ",1
mention1 welp. bitch im just now fucking seeing dumb whore,1
"the only person with a vagina that i value is my mother, and even she is a dumb retard. women are only good for making babies.",1
mention1 - - - - - - - - definitely the hottest bitch ever ................ ali tmak mention2 . url,0
"i cannot allow my folks to cuff no whore , not a good look fuck allat turn a hoe into a house wife shit ",1
"dumb cunt omm, just know im comin for you hoe",1
mention1 it will always be ready and hard for you to bring your holes and beat it with your cunt and ass url,1
mention1 do i have to fight another bitch ass looking cunt today?,1
"instead of getting offended and yelling 'not all men' when women say men are trash, maybe take a second to ponder why women think this way?",0
new to twitter-- any men on here know what the process is to get verified?,0
mention1 okey let's build ram mandir..? dare you to answer..!!,0
"please rape my slut cunt and fill it up to the brim with thick, hot cum url",0
"niggas get crafty with diff ways of saying women do it too or not all men. any variation will get you blocked, but the effort is funny.",0
snapchat finally has an accurate filter for these bitches.... the goddamn devil,1
mention1 they called her a cunt youve called women twats and witches? could ye all just stop abusing women online,0
"too bad some of you bitches can't draw on a better personality, the way you draw on your fuckin eyebrows",1
mention1 i'll send meechy at yo hoe if yo bitch keep eyein' me,1
mention1 mention2 they are trying to rape that young girl and they rome around like animals fucking wankers,0
these cunt whore are lickers are all army  their family if they get a female they all gang bang her ' whore all... url,1
i wonder if rick will make another deal with those crazy ass women  and if that crazy ass nigga will actually hoe daryl again ,1
"when you find yourself in a hole, quit digging. - will rogers quote",0
mathematicians know best (women have your man translate these symbols for you if you're confused) yesallmen url,1
mention1 no bitch you a hoe,1
sooo mention1 you ain't get my text message hoe? ,0
loved her anyway and now she just a hoe. i love when they acting hard but pussy on the low.,1
"when he runs his hand up the back of your head, grabs a handful of hair, kisses you ; whispers 'your pussy is mine' url",1
but if yall insist on wanting anyones relationship i rather you look for a barack than a gucci. not all men take you through hell.,0
mention1 mention2 someone tell the hysterical woman that the last time cam was without benjamin he won league mvp.,1
when she got you caught up and you're tryna figure out how you're gonna lie your way outta this one url,0
they told her they had this hystericalbecause i washysterical girl on the end of the line that needed to see... url,0
"it blows mine when a girl tells me to her talk during sex 'how this pussy feel, talk to me' ok bitch it's a c- and i'm trynna concentrate ",1
these cunt whore are lickers are all army  their family if they get a female they all gang bang her ' whore all... url,1
ill still fuck a stupid bitch up tho,1
a little theory im working on. if theres a voice in your spirit compelling you to say notallmen notallwomen url,0
"mention1 mention2 ps - andy, ill meet you at the ram in town for the rams game today. really excited for this one!",0
i wish i was just as fascinated with important things in life as i am with those 360 degree videos on fb when i'm high,0
rt mention1 mention2 is my mcm because he gave me a dirty shout out on instagram. romancein2016,0
cant believe they hired a woman and not me!!!! i guess mcdonalds hatesmen? mickydhasnod fuckyouronald..,1
woman that tell guys 'i just wanna be single for the summer.' are just trying to whore around. don't come crying to us guys come fall!,1
"if any woman is a victim of sexual assault i pray you read the metoo timeline, having an ex who was a victim of rape tell me she was and",0
"mention1 mention2 congratulations, jo. you are the most hysterical person i've ever encountered on social url",0
maybe instagram will copy twitter and go back to chronological order...,0
mention1 are you homophobic?,0
"narcissus was an attention whore, an asshole, a snitch, and just a complete fucking cunt in general. i'm kinda glad he isn't coming back.",0
this stupid bitch lied. url,1
mention1 do you have a tow bar on your ram?,0
when the gut rot kicks in after a long weekend of drinking url,0
i see those outlander women who continually bitch aboutto terry have blocked me. lol. snowflakes.,0
prince think he slick af... he got everyone out here fooled url,0
"her- you usually wear condoms tho, right? me- url",0
