text,misogynous
what in the fuck is an oomf? well if it refers to women it sucks!,0
fai vedere il tuo bel culone e le zizze amore che sei fantastica url,1
mention1 mention2 mention3 mention4 mention5 mention6 mention7 mention8 mention9 mention10 mention11 mention12 mention13 ma che cazzo vuoi demente che problema hai ritardato? ora non si puo' votare x chi si vuole?,0
how to pronounce slipknot bitch rt url mutt demur slut shrew sultana kickupafuss refute bar,0
"pulendo la tazza del water, oggi mi sono accorto che berlusconi è tornato a galleggiare!questa è la considerazione che si è guadagnato berlusconi nel paese di angela merkel, definita da lui: la culona inchiavabile. url",0
ho fatto sto percorso con estrema umiltà ma che cazzo stai a di valentina ma stai zitta porca troia amici17,1
are you fucking kidding me? 49ers going down a shit hole url,0
when you're out to eat with your girl and the waitress knows you by name url,0
"mention1 mention2 mention3 mention4 mention5 mention6 mention7 mention8 mention9 asia argento, una che avendo un cognome si agita e strepita per farsi un nome.",1
"mention1 mention2 ...e in più, bbbona da paura!! ma voi mette' che figurone che famo quanno va a parlà co' quella culona da'a merkel?!?!",1
mention1 dirty smelly cunt slut whores. hope your old man rots in a cell.,1
mi hanno appena suonato 6 volte al citofonoma che cazzo di problemi ha la gente?tanto lo so che era qualche testimone di geova o qualcuno che chiede soldima porca troia ma suonate una volta sola se proprio dovete,0
mention1 purtroppo lei non dice mai cose così così.... solo cattiverie da zitella acida,1
rt mention1  url,0
nigeria news - family of nine iraqi asylum seekers gang -rape drunk woman url,0
mention1 mention2 they are trying to rape that young girl and they rome around like animals fucking wankers,0
bitches better stop wearing bonnets in public. put a fucking hat on if youre a lazy cunt like me. thats what i do.,1
oh porca puttana troia.il mio bias e il mio wrecker.ma scherziamo?mi sotterro. url,0
smettila di fare la santarellina che in realtà sei un puttanone da gara,1
mention1 e si gran bella figa ti scoperei subito,1
mention1 mention2 you have to understand that not all men were raised the right way and you have to protect you url,0
congrats slut he's yours you win :),1
mention1 mention2 praticamente asia argento che lavora da anni ha svoltato con la politica,0
mention1 hi ,0
ma perch negli shoujo devono per forza mettere la parte del festival della scuola porca puttana è sempre noiosa s e m p r e,0
mention1 mention2 minimo ti stupro il culo!,1
mention1 telemarketer did same to me called me a whore and said he would rape me. nice.,1
mention1 mention2 only time of the year you look normal ya kunt,0
porca puttana ?????????? url,0
mention1 almeno non ti chiamano figa di legno scusa,0
"raga ve lo giuro, non è un tweet per vantarmi in stile scè sks parlo così bene inglese senza fatica che non mi rendo conto di parlarlo, quanto sono figa"", è un tweet per dire ""non so più che cazzo dico e in che lingua lo sto dicendo send help pliz"".""",0
mention1 what about the millions of women in middle east getting stoned and executed for being raped?? fucking dumb cunt!,0
io non so che cazzo di problemi abbia la gente.figa è come se mi stampassi una foto della waifu o di andrea e la tenessi lì ad ammirarlae non mi devo incazzarema che figa hai in testa,0
"mention1 pero' io i berlusca me lo giocherei ancora ehhh .....ora che non c'e' piu' quel muso brutto di sarko e nemmeno l' abbronzato obama, oggi tra una merkel culona e un macron della sua stessa stazza ( fisica ) e' un pierrot  ci starebbe come il caci",1
niggas might want you but you a regular bitch to me,1
mention1 i call them a whale ass hoe? i was told bc everyone envies skinny women url,1
" all charged will be dropped from nellys alleged rape case, as the woman involved refuses to url",0
"mention1 mention2 per la verità ha fatto il giro delle 5 chiese, manca quella della merkel (volgarmente chiamata la culona)!!!!!",1
mention1 per me si addormentata anche la pompinara ?,1
mention1 isnt the bitch is the one whose attacking women or people who cant or isnt able to defend self? mussies are cave monkies,0
rt mention1 mention2 mention3 aye! make your dreams come true! ...go out there and suck a dick!,1
"mention1 mention2 yeah, you can get one free 600mb ram one.",0
mention1 sweet. broke-assed bitch will shut her jizz-hole for once. once.,1
mention1 bella tettona,1
"che troia, lurida puttanazitta, affoga e sborro dentro la tua baracosì almeno al tuo funerale di sicuro ti sentirai a casanon parlare brutta cagna che da oggi sono un cane anche ionon mi hai mai voluto dare il culo, adesso me lo prendo, porco do.",1
mention1 rage of women of trump in the white house made them individually fearless to turn on weinstein! blame 1 man not all men.,0
when your one night stand asks you if you wanna go to brunch url,0
my familys idea of a merienda for this moment is siopao. they really hate me. me: calls tim ho wan do you deliver in elyu? ,0
"io vorrei anche fare l' internescional e sclerare in inglese, ma come faccio a dire che sammy è un puttanone da combattimento???? url",1
sento che sta per venirmi un gran mal di testa porca puttana voglio morire url,0
anhyone else hate the way women smell? i think it's because they're bitches!!!!!! fuck you bitch!!!?!,1
porca puttana realmadridjuve,0
mention1 only when drunk or in bed... but i'm always drunk,0
"mention1 brutto per brutto ti inculo io con forza, vengo a vivere da te così giorno e notte ti inculo per bene e sarebbero delle splendide giornate...a te piace prenderlo a me piace infilarlo, che giornate bellissime che potremmo trascorrere insieme!!",1
"i would tag your stupid ass but you bothered and blocked me, so should i tag your new bitch? ",1
mention1 ti sposto le mutandine te lo metto nella figa e ti sborro nel culetto,1
mention1 io  ti apro puttana url,1
alessandra fai poco la figa che lo sappiamo che mo torni a casa a piangere e poi chiami mention1 per avere il numero del palestrato primoappuntamento,1
mention1 porca puttana guardati un po url,0
"once upon a time i knew a woman that didn't suck.... just kidding, no i didn't....",1
calling someone a bitch and a cunt is not the way to do it.,1
mention1 gli ho chiesto di uscire le foto di quella puttanona della menchi ma non mi ha risposto quel coglione finto guepequeno del cazzo,1
alla guerra fredda dei dazi rispondiamo con accordi bilaterali con sia con cina che trump come manco la peggio puttanona!!,0
mention1 mention2 porca puttana un arbitro inglese dove nel suo paese prima di dare un rigore devi uccidere un giocato rovina una partita epica .,0
in class today girl next to me 'i hate how every girl dressed like a skank for halloween' guy in front of me turns 'it was amazing,1
mention1 : è il momento della svolta altro che tajani !!!!! come si può pretendere un ottuagenario simbolo del vecchio del adpersonam del privilegio degli amici del burlesque dell irrispettosita' ... degli scongiuri e dei cucù dei culona e della s,0
this is why i hate people url,0
you shut your whore mouth!,1
mention1 oh look ipigga thinks she knows women who struggle....fuck off bitch,0
figa di legno,1
"mention1 mention2 no. io ragiono da uomo stavolta. lo stupro è una cosa seria. benatia mi ha fatto incazzare è crozza uguale. ma che cazzo è, non cè più limite.",0
la mattina dopo mi sveglio con la consapevolezza e la tranquillitá che l'inter é un sqmaurito porca puttana cosa ti sei magnatooooooo,0
"mention1 4 unfailing respect and concern. the tired old narrative of 'hysterical', 'paranoid', 'crazy' women w url",0
a hoe wants attention a women wants respect.,1
mention1 id love to lick your pussy before and after a big black cock has fucked it! im in northwest indiana hmu if you need a cuckold!!!,1
porca puttana ma domani vedo harry ma come faccio,0
"il profondo fastidio che mi genera anne hathway con il suo essere bella, elegante, perfettina, magra e come se non bastasse tettona",1
"mention1 mention2 certo che è senza sesso. infatti sono stupidi uomini e donne in egual misura.oggettivamente però l'insulto che fa riferimento alla moralità"" (usato da uomini e donne) è riservato solo alle donne (non esiste l'insulto ""troio",0
"putting women on pedestals, gen kelly, is why women are abused. we don't fall neatly into the madonnawhore categories. we're people ffs.",1
mention1 gl on the potential next game. you guys got yourself in a hole. all we can do is support. the rest is up to you guys. hope is not lost.,0
hahahahhhhhahaha porca puttana la troverà con le muffe sopra url,0
"mention1 mention2 to follow lord ram,s teachings is more important than his temple, to start with you may ho url",0
kys tryna step to oculr. are you dumb blud i will rape your sister and analy destroy your slutty whore mum,1
mention1 pensa quanto ho fatto schifo per fare la tua stessa top porca puttana,0
"not only r u fat and disgusting, but why do you feel the need to post photos of urself in a bikini. who do you think ur fooling seabiscuit?",1
porca puttana ma vogliamo parlare di cleo toms che si sta facendo truccare da rihanna?ma a chi ha venduto lanima per avere tutte ste gioie?a chi?voglio il nome cazzo,0
i wish i could have all the money i've spent on alcohol back... but still have had all of the alcohol too,0
you're dating such a douche bag omg. i just wanna punch you in the face for being so stupid. not even him. womensuck,1
when you're livin life on the edge but safety always comes first...  url,0
nelly should beware of other woman now trying to accuse him for rape .. ladies after this lady because if one does it others will try it too,1
"the misogyny of trans activists. weinstein is about the rape and abuse of women ,but we are told pointing this out is 'exclusionary ' url",0
ha ha bjp knows that hindus r so stupid that they r ready to starve with no jobs but first like to see ram mandir then taj mahal. url,0
solo io ho la sensazione che fatalitá la mora tettona in fila riuscirá ad entrare? gf15,1
"inizia con la i"" e semina terrore tra le persone-inter, porca puttana, inter!!!torinointer torint""",0
"mention1 mention2 mention3 in italia questo tipo di foto le chiamiamo : la natura morta con la figa di legno. """"",1
mention1 ma statti zitta puttana,1
mention1 ti lecco tutta porcona messa così ti sborro sulle chiappe,1
"ho però molta frustrazione addosso"" is the new ""porca di quella grandissima puttana maiala lurida infame bestia"".torinointer url",0
mention1 mention2 fuck all to do wae him it..and i just can't be annoyed with hysterical mong women who talk sh url,1
"mention1 mention2 ma che cazzo c'entra! ma non diciamo puttanate! che cazzo gliene frega alle donne che benatia ha detto che il rigore e stato uno stupro! ha detto una frase fuori luogo, quindi? ce gente che da del frocio all'allenatore avversario, t",0
mention1 mention2 bitch i ain't no hoe,1
mention1 ciaooo bellissima tettona,1
"if i'm only nice to you and don't insult you, i don't want to sleep with you",0
when you like her but the pussy is just a little loose for your liking url,1
mention1 mention2 mention3 che cazzo vuoi?,0
whichever one is gonna end up on my bedroom floor url,0
adesso quel commento ve lo traduco io che non so il coreano dice porca puttana yixing torna presto mi mancano le tue strizzate di culo,0
bella culona tvoi,1
